Rank,Game,Month,Year,Hours_watched,Avg_viewers,Avg_channels,Avg_viewer_ratio
1,League of Legends,1,2016,94377226,127021,1833,69.29
2,Counter-Strike: Global Offensive,1,2016,47832863,64378,1117,57.62
4,Hearthstone,1,2016,39936159,53749,317,169.29
7,World of Warcraft,1,2016,8771452,11805,461,25.57
11,StarCraft II,1,2016,6567126,8838,99,89.04
119,Dofus,1,2016,287689,387,12,32.02
1,League of Legends,2,2016,93154772,134035,1822,73.54
2,Counter-Strike: Global Offensive,2,2016,44933218,64652,1086,59.52
4,Hearthstone,2,2016,39982412,57528,288,199.28
10,World of Warcraft,2,2016,6330745,9108,416,21.88
11,StarCraft II,2,2016,5635611,8108,86,93.52
13,Overwatch,2,2016,4735263,6813,97,69.61
114,Dofus,2,2016,224776,323,14,22.36
1,League of Legends,3,2016,94514511,127206,1701,74.77
2,Counter-Strike: Global Offensive,3,2016,71963213,96854,999,96.92
4,Hearthstone,3,2016,39270352,52853,280,188.35
9,World of Warcraft,3,2016,6873120,9250,397,23.27
14,StarCraft II,3,2016,5281756,7108,78,90.98
27,Overwatch,3,2016,2735563,3681,78,46.89
164,Dofus,3,2016,141165,189,10,17.75
1,League of Legends,4,2016,88389049,122933,1692,72.61
2,Counter-Strike: Global Offensive,4,2016,71723213,99754,1003,99.39
4,Hearthstone,4,2016,41457117,57659,319,180.26
7,World of Warcraft,4,2016,7675362,10675,394,27.06
17,StarCraft II,4,2016,3844191,5346,75,70.98
21,Overwatch,4,2016,3314869,4610,96,47.71
1,League of Legends,5,2016,80679320,108585,1609,67.45
2,Hearthstone,5,2016,49474945,66588,312,213.03
4,Counter-Strike: Global Offensive,5,2016,44882927,60407,893,67.64
5,Overwatch,5,2016,22098050,29741,1123,26.48
7,World of Warcraft,5,2016,8532283,11483,373,30.75
18,StarCraft II,5,2016,4345741,5848,70,83.55
133,Dofus,5,2016,157489,211,10,19.9
1,League of Legends,6,2016,81348505,113141,1442,78.43
3,Counter-Strike: Global Offensive,6,2016,36137071,50260,802,62.65
4,Hearthstone,6,2016,35460014,49318,257,191.64
5,Overwatch,6,2016,30041625,41782,1588,26.31
9,World of Warcraft,6,2016,7683385,10686,397,26.9
17,StarCraft II,6,2016,3717226,5169,63,80.82
147,Dofus,6,2016,141405,196,10,19.08
1,League of Legends,7,2016,77871713,104807,1351,77.54
2,Counter-Strike: Global Offensive,7,2016,52953297,71269,802,88.83
4,Hearthstone,7,2016,31656051,42605,221,192.34
5,Overwatch,7,2016,24928646,33551,1095,30.63
8,World of Warcraft,7,2016,9957230,13401,410,32.66
16,StarCraft II,7,2016,4470248,6016,63,95.35
198,Dofus,7,2016,161162,216,9,22.66
1,League of Legends,8,2016,81684707,109939,1476,74.44
3,Hearthstone,8,2016,35713094,48066,232,206.98
4,Counter-Strike: Global Offensive,8,2016,26252677,35333,864,40.85
5,World of Warcraft,8,2016,20187726,27170,644,42.17
6,Overwatch,8,2016,18643208,25091,912,27.49
15,StarCraft II,8,2016,4492185,6046,64,93.05
122,Dofus,8,2016,239214,321,11,28.7
168,StarCraft,8,2016,138837,186,6,26.71
1,League of Legends,9,2016,81064642,112746,1512,74.56
2,Hearthstone,9,2016,33618619,46757,230,202.65
3,Counter-Strike: Global Offensive,9,2016,30761358,42783,763,56.04
4,World of Warcraft,9,2016,27553668,38322,1000,38.31
6,Overwatch,9,2016,15244235,21201,867,24.43
19,StarCraft II,9,2016,3352643,4662,60,76.71
1,League of Legends,10,2016,104305242,140383,1555,90.23
2,Hearthstone,10,2016,35799234,48182,226,212.38
3,Counter-Strike: Global Offensive,10,2016,35446861,47707,776,61.41
5,World of Warcraft,10,2016,18819570,25329,804,31.48
6,Overwatch,10,2016,14653679,19722,834,23.63
18,StarCraft II,10,2016,3833030,5158,64,79.69
1,League of Legends,11,2016,76730765,106718,1568,68.04
2,Hearthstone,11,2016,41273855,57404,252,227.12
4,Counter-Strike: Global Offensive,11,2016,32928974,45798,799,57.3
5,Overwatch,11,2016,20378464,28342,940,30.13
6,World of Warcraft,11,2016,15045660,20925,694,30.13
16,StarCraft II,11,2016,5000259,6954,70,98.27
146,Dofus,11,2016,159518,221,10,21.53
1,League of Legends,12,2016,81349398,109487,1671,65.51
2,Hearthstone,12,2016,50374964,67799,279,242.68
4,Counter-Strike: Global Offensive,12,2016,30576246,41152,800,51.44
5,Overwatch,12,2016,22178852,29850,1154,25.86
7,World of Warcraft,12,2016,12099784,16285,613,26.55
20,StarCraft II,12,2016,4289359,5773,71,81.03
119,StarCraft,12,2016,325139,437,10,42.69
137,Dofus,12,2016,242094,325,8,39.66
1,League of Legends,1,2017,99332369,133690,1834,72.86
2,Counter-Strike: Global Offensive,1,2017,72376812,97411,934,104.2
4,Hearthstone,1,2017,37651061,50674,241,209.88
5,Overwatch,1,2017,25700463,34590,1309,26.42
7,World of Warcraft,1,2017,12870858,17322,736,23.53
19,StarCraft II,1,2017,5249904,7065,75,93.22
117,StarCraft,1,2017,404840,544,11,46.34
173,Dofus,1,2017,253984,341,10,31.92
1,League of Legends,2,2017,99415477,148160,1801,82.22
2,Counter-Strike: Global Offensive,2,2017,40480425,60328,1010,59.72
3,Hearthstone,2,2017,33345362,49695,222,223.01
5,Overwatch,2,2017,18544200,27636,1160,23.82
8,World of Warcraft,2,2017,11513629,17158,710,24.16
22,StarCraft II,2,2017,4245866,6327,80,78.33
1,League of Legends,3,2017,90835130,122254,1601,76.36
2,Hearthstone,3,2017,38782039,52196,228,228.83
4,Counter-Strike: Global Offensive,3,2017,36870753,49624,946,52.44
6,Overwatch,3,2017,22579043,30389,1236,24.58
9,World of Warcraft,3,2017,9118258,12272,614,19.97
20,StarCraft II,3,2017,4789332,6445,76,84.76
122,StarCraft,3,2017,258004,347,12,28.7
175,Dofus,3,2017,148930,200,9,20.71
1,League of Legends,4,2017,82852693,115233,1640,70.25
2,Hearthstone,4,2017,53390683,74256,308,240.39
5,Counter-Strike: Global Offensive,4,2017,36569260,50861,877,57.99
6,Overwatch,4,2017,21200021,29485,1193,24.71
9,World of Warcraft,4,2017,9155878,12734,607,20.96
23,StarCraft II,4,2017,3865609,5376,71,75.71
62,StarCraft,4,2017,698820,971,20,47.75
163,Dofus,4,2017,163250,227,8,26.01
1,League of Legends,5,2017,87929525,118343,1657,71.41
3,Hearthstone,5,2017,39409029,53040,246,215.04
5,Counter-Strike: Global Offensive,5,2017,23364660,31446,827,38.02
6,Overwatch,5,2017,20539723,27644,1191,23.19
10,World of Warcraft,5,2017,8179253,11008,572,19.24
24,StarCraft II,5,2017,3201968,4309,72,59.21
115,StarCraft,5,2017,317004,426,17,24.72
181,Dofus,5,2017,152876,205,9,21.91
1,League of Legends,6,2017,84467396,117478,1598,73.48
4,Hearthstone,6,2017,28109979,39095,203,192.13
5,Overwatch,6,2017,22749333,31640,1366,23.15
6,Counter-Strike: Global Offensive,6,2017,21829455,30360,787,38.55
10,World of Warcraft,6,2017,10237012,14237,630,22.59
25,StarCraft II,6,2017,3526670,4904,69,70.9
154,StarCraft,6,2017,184606,256,16,15.97
158,Dofus,6,2017,180612,251,10,22.95
1,League of Legends,7,2017,84734733,114044,1751,65.12
2,Counter-Strike: Global Offensive,7,2017,68139030,91707,841,108.95
4,Hearthstone,7,2017,27058958,36418,218,166.65
6,Overwatch,7,2017,19496787,26240,1177,22.28
9,World of Warcraft,7,2017,11158771,15018,684,21.95
15,StarCraft II,7,2017,4220890,5680,70,80.81
115,StarCraft,7,2017,418836,563,1,312.33
2,League of Legends,8,2017,72054710,96978,1696,57.16
4,Hearthstone,8,2017,43216654,58165,301,193.08
5,Counter-Strike: Global Offensive,8,2017,20163803,27138,865,31.36
7,Overwatch,8,2017,17443046,23476,1152,20.37
10,World of Warcraft,8,2017,9335595,12564,607,20.67
